<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.14	04:00:00	1.07899	1.07949	1.07882	1.07940	1545	0	0
2023.06.14	05:00:00	1.07940	1.07960	1.07904	1.07957	879	0	0
2023.06.14	06:00:00	1.07957	1.07961	1.07885	1.07900	881	0	0
2023.06.14	07:00:00	1.07900	1.07920	1.07847	1.07897	896	0	0
2023.06.14	08:00:00	1.07897	1.07905	1.07738	1.07759	1684	0	0
2023.06.14	09:00:00	1.07760	1.07877	1.07760	1.07852	1776	0	0
2023.06.14	10:00:00	1.07852	1.07970	1.07852	1.07896	2674	0	0
2023.06.14	11:00:00	1.07896	1.08047	1.07859	1.08020	2203	0	0
2023.06.14	12:00:00	1.08019	1.08099	1.07964	1.08045	2076	0	0
2023.06.14	13:00:00	1.08045	1.08098	1.08021	1.08065	1905	0	0
2023.06.14	14:00:00	1.08065	1.08077	1.08017	1.08034	2066	0	0
2023.06.14	15:00:00	1.08033	1.08333	1.08033	1.08312	4078	0	0
2023.06.14	16:00:00	1.08311	1.08450	1.08272	1.08447	3983	0	0
2023.06.14	17:00:00	1.08447	1.08563	1.08414	1.08558	3211	0	0
2023.06.14	18:00:00	1.08557	1.08582	1.08483	1.08578	2604	0	0
2023.06.14	19:00:00	1.08578	1.08642	1.08552	1.08625	1504	0	0
2023.06.14	20:00:00	1.08625	1.08630	1.08523	1.08536	1993	0	0
2023.06.14	21:00:00	1.08537	1.08537	1.08011	1.08342	13856	0	0
2023.06.14	22:00:00	1.08343	1.08440	1.08207	1.08266	6059	0	0
2023.06.14	23:00:00	1.08266	1.08356	1.08244	1.08244	1610	0	0
2023.06.15	00:00:00	1.08260	1.08320	1.08244	1.08314	392	0	11
2023.06.15	01:00:00	1.08314	1.08356	1.08308	1.08323	666	0	0
2023.06.15	02:00:00	1.08323	1.08427	1.08317	1.08426	1134	0	0
2023.06.15	03:00:00	1.08426	1.08444	1.08371	1.08383	1198	0	0
2023.06.15	04:00:00	1.08383	1.08383	1.08101	1.08107	2478	0	0
2023.06.15	05:00:00	1.08107	1.08156	1.08083	1.08134	1735	0	0
2023.06.15	06:00:00	1.08134	1.08157	1.08107	1.08132	896	0	0
2023.06.15	07:00:00	1.08132	1.08150	1.08099	1.08114	955	0	0
2023.06.15	08:00:00	1.08114	1.08235	1.08056	1.08183	1759	0	0
2023.06.15	09:00:00	1.08182	1.08205	1.08037	1.08105	2638	0	0
2023.06.15	10:00:00	1.08105	1.08288	1.08057	1.08269	2698	0	0
2023.06.15	11:00:00	1.08269	1.08371	1.08245	1.08330	2208	0	0
2023.06.15	12:00:00	1.08330	1.08476	1.08312	1.08475	2462	0	0
2023.06.15	13:00:00	1.08475	1.08487	1.08345	1.08421	2125	0	0
2023.06.15	14:00:00	1.08421	1.08432	1.08176	1.08177	2544	0	0
2023.06.15	15:00:00	1.08177	1.08809	1.08145	1.08643	8461	0	0
2023.06.15	16:00:00	1.08640	1.09008	1.08583	1.08993	6904	0	0
2023.06.15	17:00:00	1.08993	1.09216	1.08989	1.09105	5311	0	0
2023.06.15	18:00:00	1.09105	1.09355	1.09100	1.09327	3295	0	0
2023.06.15	19:00:00	1.09327	1.09452	1.09321	1.09436	2378	0	0
2023.06.15	20:00:00	1.09436	1.09501	1.09394	1.09428	1638	0	0
2023.06.15	21:00:00	1.09429	1.09511	1.09419	1.09502	1404	0	0
2023.06.15	22:00:00	1.09502	1.09526	1.09452	1.09477	1725	0	0
2023.06.15	23:00:00	1.09476	1.09491	1.09446	1.09446	843	0	0
2023.06.16	00:00:00	1.09444	1.09444	1.09406	1.09411	111	0	0
2023.06.16	01:00:00	1.09420	1.09493	1.09420	1.09489	957	0	0
2023.06.16	02:00:00	1.09488	1.09511	1.09449	1.09453	1256	0	0
2023.06.16	03:00:00	1.09453	1.09507	1.09399	1.09420	1647	0	0
2023.06.16	04:00:00	1.09420	1.09484	1.09398	1.09436	1746	0	0
2023.06.16	05:00:00	1.09435	1.09456	1.09354	1.09362	2348	0	0
2023.06.16	06:00:00	1.09362	1.09425	1.09362	1.09380	1438	0	0
2023.06.16	07:00:00	1.09380	1.09430	1.09366	1.09387	877	0	0
2023.06.16	08:00:00	1.09386	1.09450	1.09375	1.09396	1231	0	0
2023.06.16	09:00:00	1.09398	1.09625	1.09391	1.09472	3174	0	0
2023.06.16	10:00:00	1.09471	1.09523	1.09337	1.09426	3449	0	0
2023.06.16	11:00:00	1.09426	1.09535	1.09382	1.09505	2965	0	0
2023.06.16	12:00:00	1.09505	1.09511	1.09397	1.09493	2131	0	0
2023.06.16	13:00:00	1.09493	1.09497	1.09430	1.09442	1802	0	0
2023.06.16	14:00:00	1.09445	1.09656	1.09444	1.09602	2452	0	0
2023.06.16	15:00:00	1.09602	1.09708	1.09475	1.09508	3646	0	0
2023.06.16	16:00:00	1.09508	1.09583	1.09423	1.09530	4141	0	0
2023.06.16	17:00:00	1.09538	1.09670	1.09178	1.09251	7603	0	0
2023.06.16	18:00:00	1.09251	1.09318	1.09215	1.09240	3742	0	0
2023.06.16	19:00:00	1.09240	1.09340	1.09240	1.09340	1916	0	0
2023.06.16	20:00:00	1.09340	1.09397	1.09320	1.09395	1456	0	0
2023.06.16	21:00:00	1.09395	1.09454	1.09373	1.09444	1674	0	0
2023.06.16	22:00:00	1.09443	1.09443	1.09346	1.09350	1915	0	0
2023.06.16	23:00:00	1.09352	1.09432	1.09346	1.09357	1321	0	0
2023.06.19	00:00:00	1.09394	1.09403	1.09304	1.09389	507	0	15
2023.06.19	01:00:00	1.09386	1.09433	1.09371	1.09428	647	0	0
2023.06.19	02:00:00	1.09428	1.09430	1.09385	1.09397	895	0	0
2023.06.19	03:00:00	1.09397	1.09463	1.09348	1.09366	1393	0	0
2023.06.19	04:00:00	1.09366	1.09405	1.09335	1.09365	1384	0	0
2023.06.19	05:00:00	1.09365	1.09408	1.09361	1.09364	1042	0	0
2023.06.19	06:00:00	1.09363	1.09380	1.09337	1.09369	1075	0	0
2023.06.19	07:00:00	1.09369	1.09369	1.09322	1.09346	1164	0	0
2023.06.19	08:00:00	1.09346	1.09413	1.09317	1.09401	1366	0	0
2023.06.19	09:00:00	1.09402	1.09402	1.09275	1.09294	2729	0	0
2023.06.19	10:00:00	1.09295	1.09375	1.09250	1.09294	3053	0	0
2023.06.19	11:00:00	1.09293	1.09388	1.09270	1.09295	2435	0	0
2023.06.19	12:00:00	1.09295	1.09296	1.09099	1.09107	2625	0	0
2023.06.19	13:00:00	1.09107	1.09197	1.09071	1.09197	1893	0	0
2023.06.19	14:00:00	1.09197	1.09273	1.09170	1.09212	1728	0	0
2023.06.19	15:00:00	1.09212	1.09293	1.09194	1.09258	2047	0	0
2023.06.19	16:00:00	1.09258	1.09261	1.09169	1.09184	2128	0	0
2023.06.19	17:00:00	1.09184	1.09261	1.09123	1.09228	2517	0	0
2023.06.19	18:00:00	1.09228	1.09290	1.09212	1.09218	1452	0	0
2023.06.19	19:00:00	1.09219	1.09262	1.09157	1.09161	1186	0	0
2023.06.19	20:00:00	1.09161	1.09191	1.09158	1.09173	326	0	0
2023.06.19	21:00:00	1.09173	1.09210	1.09162	1.09191	334	0	0
2023.06.19	22:00:00	1.09191	1.09206	1.09182	1.09183	194	0	0
2023.06.19	23:00:00	1.09182	1.09224	1.09174	1.09214	359	0	0
2023.06.20	00:00:00	1.09214	1.09215	1.09171	1.09215	188	0	7
2023.06.20	01:00:00	1.09215	1.09260	1.09205	1.09228	655	0	0
2023.06.20	02:00:00	1.09228	1.09245	1.09190	1.09233	576	0	0
2023.06.20	03:00:00	1.09234	1.09260	1.09168	1.09202	1422	0	0
2023.06.20	04:00:00	1.09202	1.09222	1.09110	1.09133	1950	0	0
2023.06.20	05:00:00	1.09133	1.09238	1.09105	1.09223	2392	0	0
2023.06.20	06:00:00	1.09224	1.09238	1.09187	1.09196	1093	0	0
2023.06.20	07:00:00	1.09196	1.09204	1.09129	1.09135	1445	0	0
2023.06.20	08:00:00	1.09135	1.09261	1.09116	1.09260	1516	0	0
2023.06.20	09:00:00	1.09260	1.09323	1.09195	1.09216	2877	0	0
2023.06.20	10:00:00	1.09215	1.09462	1.09150	1.09438	4009	0	0
2023.06.20	11:00:00	1.09435	1.09447	1.09317	1.09378	3201	0	0
2023.06.20	12:00:00	1.09378	1.09399	1.09227	1.09251	2724	0	0
2023.06.20	13:00:00	1.09251	1.09342	1.09245	1.09281	2420	0	0
2023.06.20	14:00:00	1.09282	1.09321	1.09219	1.09286	2151	0	0
2023.06.20	15:00:00	1.09286	1.09358	1.09121	1.09193	4174	0	0
2023.06.20	16:00:00	1.09193	1.09245	1.09063	1.09165	4938	0	0
2023.06.20	17:00:00	1.09165	1.09206	1.08923	1.09013	5499	0	0
2023.06.20	18:00:00	1.09015	1.09098	1.08995	1.08995	3467	0	0
2023.06.20	19:00:00	1.08996	1.09161	1.08955	1.09151	2323	0	0
2023.06.20	20:00:00	1.09150	1.09169	1.09121	1.09153	1898	0	0
2023.06.20	21:00:00	1.09158	1.09174	1.09115	1.09170	1784	0	0
2023.06.20	22:00:00	1.09170	1.09175	1.09096	1.09125	1406	0	0
2023.06.20	23:00:00	1.09125	1.09186	1.09120	1.09179	921	0	0
2023.06.21	00:00:00	1.09177	1.09212	1.09125	1.09168	372	0	5
2023.06.21	01:00:00	1.09166	1.09203	1.09165	1.09196	673	0	0
2023.06.21	02:00:00	1.09196	1.09222	1.09182	1.09199	1137	0	0
2023.06.21	03:00:00	1.09199	1.09200	1.09145	1.09159	1925	0	0
2023.06.21	04:00:00	1.09159	1.09168	1.09117	1.09140	2110	0	0
2023.06.21	05:00:00	1.09140	1.09210	1.09118	1.09125	1549	0	0
2023.06.21	06:00:00	1.09125	1.09161	1.09124	1.09148	1172	0	0
2023.06.21	07:00:00	1.09149	1.09196	1.09140	1.09162	1371	0	0
2023.06.21	08:00:00	1.09162	1.09175	1.09102	1.09121	1758	0	0
2023.06.21	09:00:00	1.09121	1.09168	1.09055	1.09102	4080	0	0
2023.06.21	10:00:00	1.09101	1.09197	1.09091	1.09129	3569	0	0
2023.06.21	11:00:00	1.09129	1.09338	1.09093	1.09247	3651	0	0
2023.06.21	12:00:00	1.09248	1.09297	1.09163	1.09165	2739	0	0
2023.06.21	13:00:00	1.09165	1.09259	1.09135	1.09183	2512	0	0
2023.06.21	14:00:00	1.09185	1.09266	1.09162	1.09245	2567	0	0
2023.06.21	15:00:00	1.09241	1.09257	1.09081	1.09251	4790	0	0
2023.06.21	16:00:00	1.09250	1.09308	1.09105	1.09266	5557	0	0
2023.06.21	17:00:00	1.09266	1.09641	1.09229	1.09546	6815	0	0
2023.06.21	18:00:00	1.09544	1.09563	1.09433	1.09506	4572	0	0
2023.06.21	19:00:00	1.09505	1.09738	1.09496	1.09705	2415	0	0
2023.06.21	20:00:00	1.09706	1.09793	1.09672	1.09774	2302	0	0
2023.06.21	21:00:00	1.09773	1.09900	1.09760	1.09847	2175	0	0
2023.06.21	22:00:00	1.09847	1.09893	1.09815	1.09877	1608	0	0
2023.06.21	23:00:00	1.09877	1.09908	1.09850	1.09858	1087	0	0
2023.06.22	00:00:00	1.09858	1.09864	1.09810	1.09840	686	0	9
2023.06.22	01:00:00	1.09841	1.09908	1.09839	1.09906	498	0	0
2023.06.22	02:00:00	1.09906	1.09923	1.09897	1.09915	713	0	0
2023.06.22	03:00:00	1.09915	1.09919	1.09865	1.09884	1535	0	0
2023.06.22	04:00:00	1.09884	1.09949	1.09870	1.09935	999	0	0
2023.06.22	05:00:00	1.09935	1.09936	1.09882	1.09934	1064	0	0
2023.06.22	06:00:00	1.09934	1.09943	1.09911	1.09928	776	0	0
2023.06.22	07:00:00	1.09930	1.09938	1.09865	1.09872	967	0	0
2023.06.22	08:00:00	1.09872	1.09904	1.09847	1.09857	1743	0	0
2023.06.22	09:00:00	1.09857	1.09905	1.09806	1.09826	2212	0	0
2023.06.22	10:00:00	1.09825	1.10000	1.09797	1.09944	4000	0	0
2023.06.22	11:00:00	1.09944	1.10036	1.09872	1.09930	3151	0	0
2023.06.22	12:00:00	1.09929	1.10038	1.09922	1.10018	2044	0	0
2023.06.22	13:00:00	1.10018	1.10082	1.10001	1.10045	2344	0	0
2023.06.22	14:00:00	1.10045	1.10119	1.09878	1.09893	6010	0	0
2023.06.22	15:00:00	1.09892	1.10018	1.09802	1.09824	5343	0	0
2023.06.22	16:00:00	1.09825	1.09850	1.09680	1.09811	5862	0	0
2023.06.22	17:00:00	1.09811	1.09892	1.09585	1.09591	5574	0	0
2023.06.22	18:00:00	1.09590	1.09666	1.09521	1.09526	3866	0	0
2023.06.22	19:00:00	1.09526	1.09568	1.09485	1.09545	2164	0	0
2023.06.22	20:00:00	1.09545	1.09580	1.09500	1.09574	1751	0	0
2023.06.22	21:00:00	1.09574	1.09604	1.09512	1.09590	1644	0	0
2023.06.22	22:00:00	1.09590	1.09615	1.09544	1.09580	1614	0	0
2023.06.22	23:00:00	1.09580	1.09585	1.09530	1.09555	967	0	0
2023.06.23	00:00:00	1.09555	1.09574	1.09539	1.09551	441	0	12
2023.06.23	01:00:00	1.09549	1.09560	1.09528	1.09534	584	0	0
2023.06.23	02:00:00	1.09534	1.09578	1.09531	1.09554	1162	0	0
2023.06.23	03:00:00	1.09553	1.09583	1.09525	1.09551	1998	0	0
2023.06.23	04:00:00	1.09551	1.09562	1.09458	1.09467	2279	0	0
2023.06.23	05:00:00	1.09467	1.09467	1.09321	1.09384	2091	0	0
2023.06.23	06:00:00	1.09384	1.09404	1.09348	1.09354	1280	0	0
2023.06.23	07:00:00	1.09354	1.09370	1.09287	1.09329	1846	0	0
2023.06.23	08:00:00	1.09329	1.09339	1.09272	1.09325	1973	0	0
2023.06.23	09:00:00	1.09325	1.09334	1.09206	1.09230	2771	0	0
2023.06.23	10:00:00	1.09230	1.09260	1.08537	1.08688	7382	0	0
2023.06.23	11:00:00	1.08694	1.08744	1.08485	1.08490	5216	0	0
2023.06.23	12:00:00	1.08490	1.08621	1.08444	1.08608	2758	0	0
2023.06.23	13:00:00	1.08608	1.08725	1.08607	1.08681	2085	0	0
2023.06.23	14:00:00	1.08681	1.08791	1.08660	1.08760	2157	0	0
2023.06.23	15:00:00	1.08761	1.08955	1.08761	1.08873	4456	0	0
2023.06.23	16:00:00	1.08874	1.09024	1.08831	1.08832	5732	0	0
2023.06.23	17:00:00	1.08831	1.08986	1.08788	1.08826	5172	0	0
2023.06.23	18:00:00	1.08826	1.08924	1.08787	1.08861	2825	0	0
2023.06.23	19:00:00	1.08861	1.08896	1.08828	1.08856	2156	0	0
2023.06.23	20:00:00	1.08859	1.08964	1.08859	1.08946	1668	0	0
2023.06.23	21:00:00	1.08945	1.08950	1.08885	1.08919	1347	0	0
2023.06.23	22:00:00	1.08919	1.08945	1.08873	1.08909	1464	0	0
2023.06.23	23:00:00	1.08909	1.08963	1.08886	1.08886	1178	0	0
2023.06.26	00:00:00	1.09046	1.09050	1.08959	1.08999	393	0	7
2023.06.26	01:00:00	1.09008	1.09071	1.08924	1.09065	1366	0	0
2023.06.26	02:00:00	1.09062	1.09063	1.09028	1.09062	1115	0	0
2023.06.26	03:00:00	1.09061	1.09093	1.08988	1.09053	2223	0	0
2023.06.26	04:00:00	1.09053	1.09098	1.09017	1.09038	2140	0	0
2023.06.26	05:00:00	1.09038	1.09091	1.09033	1.09048	1544	0	0
2023.06.26	06:00:00	1.09048	1.09092	1.09039	1.09060	941	0	0
2023.06.26	07:00:00	1.09060	1.09084	1.08998	1.09026	820	0	0
2023.06.26	08:00:00	1.09026	1.09098	1.09022	1.09068	1088	0	0
2023.06.26	09:00:00	1.09067	1.09110	1.08977	1.09032	2101	0	0
2023.06.26	10:00:00	1.09032	1.09084	1.08954	1.09023	3834	0	0
2023.06.26	11:00:00	1.09021	1.09033	1.08871	1.08920	3347	0	0
2023.06.26	12:00:00	1.08917	1.09011	1.08907	1.08965	1879	0	0
2023.06.26	13:00:00	1.08965	1.09073	1.08940	1.09044	1738	0	0
2023.06.26	14:00:00	1.09044	1.09178	1.09030	1.09177	1702	0	0
2023.06.26	15:00:00	1.09171	1.09201	1.09140	1.09175	2174	0	0
